coordination,pipeline_condition,accuracy,fallback_frequency,centroid_shift_mean,centroid_shift_gm,centroid_shift_delta
uncoordinated,majority_voting,0.03,0.0,0.339327252805233,0.09412438062965105,0.24520287217558195
uncoordinated,stage1_only,0.69,0.07,0.339327252805233,0.09412438062965105,0.24520287217558195
uncoordinated,full_pipeline,0.69,0.07,0.339327252805233,0.09412438062965105,0.24520287217558195
coordinated,majority_voting,0.01,0.0,0.3541276429593563,0.11195265331780586,0.24217498964155046
coordinated,stage1_only,0.69,0.07,0.3541276429593563,0.11195265331780586,0.24217498964155046
coordinated,full_pipeline,0.69,0.07,0.3541276429593563,0.11195265331780586,0.24217498964155046
maximally_adversarial,majority_voting,0.01,0.0,0.3541276429593563,0.11195265331780586,0.24217498964155046
maximally_adversarial,stage1_only,0.69,0.07,0.3541276429593563,0.11195265331780586,0.24217498964155046
maximally_adversarial,full_pipeline,0.69,0.07,0.3541276429593563,0.11195265331780586,0.24217498964155046
