question_id,topk_mass,neg_entropy,neg_logprob_var,is_correct
gsm8k_0,0.9949400532441387,-0.2991634881377955,-11.907568124084884,True
gsm8k_0,0.9962080574786081,-0.30777038460881595,-13.358229074604507,True
gsm8k_0,0.9956303072016509,-0.31715661289234365,-13.276678368219134,True
gsm8k_0,0.9961804309375335,-0.3144777912836642,-11.087760968977749,True
gsm8k_0,0.9970753008105612,-0.2352781153989957,-10.491741214188263,True
gsm8k_0,0.995258449498832,-0.3201625650026876,-12.928880044616712,True
gsm8k_0,0.9928062051003924,-0.3617810614123922,-11.410996049822865,True
gsm8k_1,0.9935508541048167,-0.3597018600717933,-10.625141014232907,True
gsm8k_1,0.993467534647927,-0.38317323864427805,-10.148027710173606,True
gsm8k_1,0.9940588634112949,-0.35862155838201065,-11.799329836228099,True
gsm8k_1,0.9958353651666554,-0.33617346471253784,-11.536142837364588,True
gsm8k_1,0.9939828107742013,-0.3992282735551506,-9.673035425543066,True
gsm8k_1,0.9935387302739043,-0.36494816994628615,-10.332052610752308,True
gsm8k_1,0.9946854025330085,-0.3460124100195941,-11.66380566781584,True
gsm8k_2,0.9943356137653698,-0.33966319540236384,-12.016813652017312,True
gsm8k_2,0.9814564081563839,-0.4538127222815789,-11.474143122170045,False
gsm8k_2,0.9904452414512698,-0.3826170860394167,-11.741225988218003,True
gsm8k_2,0.9873299956438133,-0.3946939427306098,-12.477862933984712,False
gsm8k_2,0.9922039091008646,-0.3664490459660335,-12.452375754456597,False
gsm8k_2,0.9880321098929983,-0.3424606687261863,-11.63355527292218,False
gsm8k_2,0.9653840709389545,-0.47504807037337193,-10.661696835888671,False
gsm8k_3,0.9903634416704086,-0.38392409049543946,-10.010059340290157,True
gsm8k_3,0.9963536574659891,-0.29968694154489506,-12.392466057352548,True
gsm8k_3,0.9967244300396454,-0.28146126327809645,-13.995484962214842,True
gsm8k_3,0.9957939474629248,-0.3324831484544678,-11.71307721326105,True
gsm8k_3,0.9959457302724106,-0.3011494590805063,-12.389400190269685,True
gsm8k_3,0.9982830247430864,-0.24623521547874513,-11.761758402329283,True
gsm8k_3,0.9958114707886739,-0.30263496455932504,-11.10495333182005,True
gsm8k_4,0.9926570232734847,-0.3095378420669116,-12.180164761757489,False
gsm8k_4,0.9929075421238831,-0.24906359218102522,-8.869522575762534,False
gsm8k_4,0.9892406049324982,-0.42492813686121195,-8.131764023202827,False
gsm8k_4,0.9951753723855471,-0.3611675607594829,-9.390231772941053,True
gsm8k_4,0.9939549561091112,-0.34706372708370936,-9.040172212187949,True
gsm8k_4,0.9921712235768181,-0.37921362647132184,-9.492046452668529,False
gsm8k_4,0.9757389950561975,-0.5292655964929801,-9.00599923367621,False
gsm8k_5,0.9825669306327713,-0.4793571533789979,-8.534298876569732,False
gsm8k_5,0.9902290776908335,-0.40860221160736754,-9.491461806706647,False
gsm8k_5,0.9913839718786118,-0.39382323910585415,-9.459824648696873,False
gsm8k_5,0.9916744960601644,-0.3563920570682403,-10.050094890167703,False
gsm8k_5,0.9690749780047292,-0.4634617324361716,-7.218765870917218,False
gsm8k_5,0.977386973281191,-0.5282871991306219,-7.595009261973526,True
gsm8k_5,0.9943789866764331,-0.3725037837645681,-10.449398204334353,False
gsm8k_6,0.9924257029069565,-0.15895220242149627,-9.555173283358334,True
gsm8k_6,0.9936534287022201,-0.246221373092003,-11.880108414131907,True
gsm8k_6,0.9953175237953417,-0.2251851849914487,-12.036934338165507,True
gsm8k_6,0.9971669140885762,-0.2321673393490261,-10.534739542423944,True
gsm8k_6,0.9937739147928621,-0.2946357941594507,-11.75958549142224,True
gsm8k_6,0.9937648855452074,-0.17877247271692276,-11.72197274952604,True
gsm8k_6,0.9959890763841543,-0.19964007435287012,-11.282156530476808,True
gsm8k_7,0.9888681821689721,-0.3878201753855784,-9.069386649293673,False
gsm8k_7,0.9941589692917896,-0.2771304971649473,-9.61189522268857,False
gsm8k_7,0.9886192488510335,-0.37717309106069496,-8.530506649317688,False
gsm8k_7,0.9823148521517041,-0.4405722172483022,-7.733592765423842,False
gsm8k_7,0.984274030655711,-0.39815405395261894,-8.338219810957401,False
gsm8k_7,0.9848318928648472,-0.4760987002454054,-9.4594825729177,False
gsm8k_7,0.9896195405218009,-0.3957652145092904,-9.492174813746772,False
gsm8k_8,0.9743483088481903,-0.415947676044946,-9.89191874575667,False
gsm8k_8,0.9920621251403932,-0.3269742013918226,-11.174223634222876,False
gsm8k_8,0.9667120748821136,-0.4984418345911167,-8.972942022543867,False
gsm8k_8,0.9629715383178657,-0.4284545164715883,-8.96832406480046,False
gsm8k_8,0.9859482375717624,-0.3638059256106113,-11.67657622550453,False
gsm8k_8,0.9861674211255429,-0.35376796191225734,-10.341668440988876,False
gsm8k_8,0.9775632310281249,-0.40844290290726964,-9.28655106178901,False
gsm8k_9,0.998886162799516,-0.14677340199937267,-9.609443817174702,True
gsm8k_9,0.998327934767823,-0.1986036673878877,-10.605205701037434,True
gsm8k_9,0.9974843776736197,-0.21867444009150466,-12.93967617767343,False
gsm8k_9,0.9970204680022929,-0.23900149642826024,-11.636425274979539,True
