condition,n_agents,beta,fault_type,accuracy,admission_rate,fallback_frequency
soft_weighting,1,0.3,mix,0.7,1.0,0.0
hard_only,1,0.3,mix,0.7,1.0,0.08888888888888889
full_system,1,0.3,mix,0.7,1.0,0.08888888888888889
baseline,1,0.45,F1,0.7,1.0,0.0
soft_weighting,1,0.45,F1,0.7,1.0,0.0
hard_only,1,0.45,F1,0.7,1.0,0.08888888888888889
full_system,1,0.45,F1,0.7,1.0,0.08888888888888889
baseline,1,0.45,F2,0.7,1.0,0.0
soft_weighting,1,0.45,F2,0.7,1.0,0.0
hard_only,1,0.45,F2,0.7,1.0,0.08888888888888889
full_system,1,0.45,F2,0.7,1.0,0.08888888888888889
baseline,1,0.45,F3,0.7,1.0,0.0
soft_weighting,1,0.45,F3,0.7,1.0,0.0
hard_only,1,0.45,F3,0.7,1.0,0.08888888888888889
full_system,1,0.45,F3,0.7,1.0,0.08888888888888889
baseline,1,0.45,mix,0.7,1.0,0.0
soft_weighting,1,0.45,mix,0.7,1.0,0.0
hard_only,1,0.45,mix,0.7,1.0,0.08888888888888889
full_system,1,0.45,mix,0.7,1.0,0.08888888888888889
baseline,5,0.0,F1,0.7555555555555555,1.0,0.0
soft_weighting,5,0.0,F1,0.7222222222222222,1.0,0.0
hard_only,5,0.0,F1,0.7555555555555555,0.9622222222222222,0.07777777777777778
full_system,5,0.0,F1,0.7,0.9622222222222222,0.07777777777777778
baseline,5,0.0,F2,0.7555555555555555,1.0,0.0
soft_weighting,5,0.0,F2,0.7222222222222222,1.0,0.0
hard_only,5,0.0,F2,0.7555555555555555,0.9622222222222222,0.07777777777777778
full_system,5,0.0,F2,0.7,0.9622222222222222,0.07777777777777778
baseline,5,0.0,F3,0.7555555555555555,1.0,0.0
soft_weighting,5,0.0,F3,0.7222222222222222,1.0,0.0
hard_only,5,0.0,F3,0.7555555555555555,0.9622222222222222,0.07777777777777778
full_system,5,0.0,F3,0.7,0.9622222222222222,0.07777777777777778
baseline,5,0.0,mix,0.7555555555555555,1.0,0.0
soft_weighting,5,0.0,mix,0.7222222222222222,1.0,0.0
hard_only,5,0.0,mix,0.7555555555555555,0.9622222222222222,0.07777777777777778
full_system,5,0.0,mix,0.7,0.9622222222222222,0.07777777777777778
baseline,5,0.15,F1,0.7555555555555555,1.0,0.0
soft_weighting,5,0.15,F1,0.7222222222222222,1.0,0.0
hard_only,5,0.15,F1,0.7555555555555555,0.9622222222222222,0.07777777777777778
full_system,5,0.15,F1,0.7,0.9622222222222222,0.07777777777777778
baseline,5,0.15,F2,0.7555555555555555,1.0,0.0
soft_weighting,5,0.15,F2,0.7222222222222222,1.0,0.0
hard_only,5,0.15,F2,0.7555555555555555,0.9622222222222222,0.07777777777777778
full_system,5,0.15,F2,0.7,0.9622222222222222,0.07777777777777778
baseline,5,0.15,F3,0.7555555555555555,1.0,0.0
soft_weighting,5,0.15,F3,0.7222222222222222,1.0,0.0
hard_only,5,0.15,F3,0.7555555555555555,0.9622222222222222,0.07777777777777778
full_system,5,0.15,F3,0.7,0.9622222222222222,0.07777777777777778
baseline,5,0.15,mix,0.7555555555555555,1.0,0.0
soft_weighting,5,0.15,mix,0.7222222222222222,1.0,0.0
hard_only,5,0.15,mix,0.7555555555555555,0.9622222222222222,0.07777777777777778
full_system,5,0.15,mix,0.7,0.9622222222222222,0.07777777777777778
baseline,5,0.3,F1,0.7333333333333333,1.0,0.0
soft_weighting,5,0.3,F1,0.7222222222222222,1.0,0.0
hard_only,5,0.3,F1,0.7333333333333333,0.8044444444444443,0.1111111111111111
full_system,5,0.3,F1,0.7333333333333333,0.8044444444444443,0.1111111111111111
baseline,5,0.3,F2,0.7333333333333333,1.0,0.0
soft_weighting,5,0.3,F2,0.7111111111111111,1.0,0.0
hard_only,5,0.3,F2,0.6888888888888889,0.9600000000000001,0.05555555555555555
full_system,5,0.3,F2,0.7333333333333333,0.9600000000000001,0.05555555555555555
baseline,5,0.3,F3,0.7333333333333333,1.0,0.0
soft_weighting,5,0.3,F3,0.7222222222222222,1.0,0.0
hard_only,5,0.3,F3,0.7333333333333333,0.8044444444444443,0.1111111111111111
full_system,5,0.3,F3,0.7444444444444445,0.8044444444444443,0.1111111111111111
baseline,5,0.3,mix,0.7333333333333333,1.0,0.0
soft_weighting,5,0.3,mix,0.7222222222222222,1.0,0.0
hard_only,5,0.3,mix,0.7333333333333333,0.8044444444444443,0.1111111111111111
full_system,5,0.3,mix,0.7333333333333333,0.8044444444444443,0.1111111111111111
baseline,5,0.45,F1,0.5,1.0,0.0
soft_weighting,5,0.45,F1,0.7,1.0,0.0
hard_only,5,0.45,F1,0.6666666666666666,0.6755555555555555,0.18888888888888888
full_system,5,0.45,F1,0.6777777777777778,0.6755555555555555,0.18888888888888888
baseline,5,0.45,F2,0.5,1.0,0.0
soft_weighting,5,0.45,F2,0.6333333333333333,1.0,0.0
hard_only,5,0.45,F2,0.4222222222222222,0.9622222222222222,0.044444444444444446
full_system,5,0.45,F2,0.5666666666666667,0.9622222222222222,0.044444444444444446
baseline,5,0.45,F3,0.5,1.0,0.0
soft_weighting,5,0.45,F3,0.7,1.0,0.0
hard_only,5,0.45,F3,0.6666666666666666,0.6755555555555555,0.18888888888888888
full_system,5,0.45,F3,0.7,0.6755555555555555,0.18888888888888888
baseline,5,0.45,mix,0.7,1.0,0.0
soft_weighting,5,0.45,mix,0.7,1.0,0.0
hard_only,5,0.45,mix,0.7333333333333333,0.7977777777777777,0.08888888888888889
full_system,5,0.45,mix,0.6888888888888889,0.7977777777777777,0.08888888888888889
baseline,7,0.0,F1,0.7444444444444445,1.0,0.0
soft_weighting,7,0.0,F1,0.7,1.0,0.0
hard_only,7,0.0,F1,0.7555555555555555,0.9682539682539683,0.12222222222222222
full_system,7,0.0,F1,0.6777777777777778,0.9682539682539683,0.12222222222222222
baseline,7,0.0,F2,0.7444444444444445,1.0,0.0
soft_weighting,7,0.0,F2,0.7,1.0,0.0
hard_only,7,0.0,F2,0.7555555555555555,0.9682539682539683,0.12222222222222222
full_system,7,0.0,F2,0.6777777777777778,0.9682539682539683,0.12222222222222222
baseline,7,0.0,F3,0.7444444444444445,1.0,0.0
soft_weighting,7,0.0,F3,0.7,1.0,0.0
hard_only,7,0.0,F3,0.7555555555555555,0.9682539682539683,0.12222222222222222
full_system,7,0.0,F3,0.6777777777777778,0.9682539682539683,0.12222222222222222
baseline,7,0.0,mix,0.7444444444444445,1.0,0.0
soft_weighting,7,0.0,mix,0.7,1.0,0.0
hard_only,7,0.0,mix,0.7555555555555555,0.9682539682539683,0.12222222222222222
full_system,7,0.0,mix,0.6777777777777778,0.9682539682539683,0.12222222222222222
baseline,7,0.15,F1,0.7666666666666667,1.0,0.0
soft_weighting,7,0.15,F1,0.7222222222222222,1.0,0.0
hard_only,7,0.15,F1,0.7666666666666667,0.8714285714285714,0.17777777777777778
full_system,7,0.15,F1,0.7222222222222222,0.8714285714285714,0.17777777777777778
baseline,7,0.15,F2,0.7666666666666667,1.0,0.0
soft_weighting,7,0.15,F2,0.7222222222222222,1.0,0.0
hard_only,7,0.15,F2,0.7666666666666667,0.9666666666666667,0.1
full_system,7,0.15,F2,0.7111111111111111,0.9666666666666667,0.1
baseline,7,0.15,F3,0.7666666666666667,1.0,0.0
soft_weighting,7,0.15,F3,0.7222222222222222,1.0,0.0
hard_only,7,0.15,F3,0.7666666666666667,0.8714285714285714,0.17777777777777778
full_system,7,0.15,F3,0.7,0.8714285714285714,0.17777777777777778
baseline,7,0.15,mix,0.7666666666666667,1.0,0.0
soft_weighting,7,0.15,mix,0.7222222222222222,1.0,0.0
hard_only,7,0.15,mix,0.7666666666666667,0.8714285714285714,0.17777777777777778
full_system,7,0.15,mix,0.7222222222222222,0.8714285714285714,0.17777777777777778
baseline,7,0.3,F1,0.6888888888888889,1.0,0.0
soft_weighting,7,0.3,F1,0.7222222222222222,1.0,0.0
hard_only,7,0.3,F1,0.7444444444444445,0.7841269841269839,0.24444444444444444
full_system,7,0.3,F1,0.7333333333333333,0.7841269841269839,0.24444444444444444
baseline,7,0.3,F2,0.6888888888888889,1.0,0.0
soft_weighting,7,0.3,F2,0.7444444444444445,1.0,0.0
hard_only,7,0.3,F2,0.6555555555555556,0.9650793650793651,0.07777777777777778
full_system,7,0.3,F2,0.7222222222222222,0.9650793650793651,0.07777777777777778
baseline,7,0.3,F3,0.6888888888888889,1.0,0.0
soft_weighting,7,0.3,F3,0.7222222222222222,1.0,0.0
hard_only,7,0.3,F3,0.7444444444444445,0.7841269841269839,0.24444444444444444
full_system,7,0.3,F3,0.7111111111111111,0.7841269841269839,0.24444444444444444
baseline,7,0.3,mix,0.6888888888888889,1.0,0.0
soft_weighting,7,0.3,mix,0.7222222222222222,1.0,0.0
hard_only,7,0.3,mix,0.7444444444444445,0.7841269841269839,0.24444444444444444
full_system,7,0.3,mix,0.7111111111111111,0.7841269841269839,0.24444444444444444
baseline,7,0.45,F1,0.4888888888888889,1.0,0.0
soft_weighting,7,0.45,F1,0.7222222222222222,1.0,0.0
hard_only,7,0.45,F1,0.4888888888888889,1.0,1.0
full_system,7,0.45,F1,0.6777777777777778,1.0,1.0
baseline,7,0.45,F2,0.4888888888888889,1.0,0.0
soft_weighting,7,0.45,F2,0.6222222222222222,1.0,0.0
hard_only,7,0.45,F2,0.4222222222222222,0.9714285714285716,0.05555555555555555
full_system,7,0.45,F2,0.5777777777777777,0.9714285714285716,0.05555555555555555
baseline,7,0.45,F3,0.4888888888888889,1.0,0.0
soft_weighting,7,0.45,F3,0.7222222222222222,1.0,0.0
hard_only,7,0.45,F3,0.4888888888888889,1.0,1.0
full_system,7,0.45,F3,0.6333333333333333,1.0,1.0
baseline,7,0.45,mix,0.6777777777777778,1.0,0.0
soft_weighting,7,0.45,mix,0.7111111111111111,1.0,0.0
hard_only,7,0.45,mix,0.7333333333333333,0.7714285714285712,0.2
full_system,7,0.45,mix,0.7444444444444445,0.7714285714285712,0.2
