condition,n_agents,beta,fault_type,accuracy,admission_rate,fallback_frequency
baseline,7,0.3,F2,0.01,1.0,0.0
soft_weighting,7,0.3,F2,0.0,1.0,0.0
hard_only,7,0.3,F2,0.01,0.9785714285714286,0.08
full_system,7,0.3,F2,0.66,0.9785714285714286,0.08
baseline,7,0.3,F3,0.01,1.0,0.0
soft_weighting,7,0.3,F3,0.66,1.0,0.0
hard_only,7,0.3,F3,0.55,0.7742857142857141,0.21
full_system,7,0.3,F3,0.66,0.7742857142857141,0.21
baseline,7,0.3,mix,0.02,1.0,0.0
soft_weighting,7,0.3,mix,0.66,1.0,0.0
hard_only,7,0.3,mix,0.55,0.7742857142857141,0.21
full_system,7,0.3,mix,0.66,0.7742857142857141,0.21
baseline,7,0.45,F1,0.0,1.0,0.0
soft_weighting,7,0.45,F1,0.67,1.0,0.0
hard_only,7,0.45,F1,0.0,1.0,1.0
full_system,7,0.45,F1,0.67,1.0,1.0
baseline,7,0.45,F2,0.0,1.0,0.0
soft_weighting,7,0.45,F2,0.0,1.0,0.0
hard_only,7,0.45,F2,0.0,0.9771428571428572,0.07
full_system,7,0.45,F2,0.61,0.9771428571428572,0.07
baseline,7,0.45,F3,0.0,1.0,0.0
soft_weighting,7,0.45,F3,0.67,1.0,0.0
hard_only,7,0.45,F3,0.0,1.0,1.0
full_system,7,0.45,F3,0.66,1.0,1.0
baseline,7,0.45,mix,0.01,1.0,0.0
soft_weighting,7,0.45,mix,0.0,1.0,0.0
hard_only,7,0.45,mix,0.56,0.7714285714285714,0.2
full_system,7,0.45,mix,0.67,0.7714285714285714,0.2
