condition,n_agents,beta,fault_type,accuracy,admission_rate,fallback_frequency
soft_weighting,5,0.15,F1,0.6555555555555556,1.0,0.0
hard_only,5,0.15,F1,0.6777777777777778,0.9777777777777777,0.45555555555555555
full_system,5,0.15,F1,0.6555555555555556,0.9777777777777777,0.45555555555555555
baseline,5,0.15,F2,0.6777777777777778,1.0,0.0
soft_weighting,5,0.15,F2,0.6555555555555556,1.0,0.0
hard_only,5,0.15,F2,0.6777777777777778,0.9777777777777777,0.45555555555555555
full_system,5,0.15,F2,0.6555555555555556,0.9777777777777777,0.45555555555555555
baseline,5,0.15,F3,0.6777777777777778,1.0,0.0
soft_weighting,5,0.15,F3,0.6555555555555556,1.0,0.0
hard_only,5,0.15,F3,0.6777777777777778,0.9777777777777777,0.45555555555555555
full_system,5,0.15,F3,0.6555555555555556,0.9777777777777777,0.45555555555555555
baseline,5,0.15,mix,0.6777777777777778,1.0,0.0
soft_weighting,5,0.15,mix,0.6555555555555556,1.0,0.0
hard_only,5,0.15,mix,0.6777777777777778,0.9777777777777777,0.45555555555555555
full_system,5,0.15,mix,0.6555555555555556,0.9777777777777777,0.45555555555555555
baseline,5,0.3,F1,0.6666666666666666,1.0,0.0
soft_weighting,5,0.3,F1,0.6666666666666666,1.0,0.0
hard_only,5,0.3,F1,0.6777777777777778,0.8822222222222221,0.4666666666666667
full_system,5,0.3,F1,0.6666666666666666,0.8822222222222221,0.4666666666666667
baseline,5,0.3,F2,0.6777777777777778,1.0,0.0
soft_weighting,5,0.3,F2,0.6666666666666666,1.0,0.0
hard_only,5,0.3,F2,0.6777777777777778,0.9711111111111111,0.4222222222222222
full_system,5,0.3,F2,0.6666666666666666,0.9711111111111111,0.4222222222222222
baseline,5,0.3,F3,0.6666666666666666,1.0,0.0
soft_weighting,5,0.3,F3,0.6666666666666666,1.0,0.0
hard_only,5,0.3,F3,0.6777777777777778,0.8822222222222221,0.4666666666666667
full_system,5,0.3,F3,0.6666666666666666,0.8822222222222221,0.4666666666666667
baseline,5,0.3,mix,0.6666666666666666,1.0,0.0
soft_weighting,5,0.3,mix,0.6666666666666666,1.0,0.0
hard_only,5,0.3,mix,0.6777777777777778,0.8822222222222221,0.4666666666666667
full_system,5,0.3,mix,0.6666666666666666,0.8822222222222221,0.4666666666666667
baseline,5,0.45,F1,0.6222222222222222,1.0,0.0
soft_weighting,5,0.45,F1,0.6888888888888889,1.0,0.0
hard_only,5,0.45,F1,0.6666666666666666,0.8044444444444443,0.5111111111111111
